Count	Name	Contents	Position X	Position Y
1	MText	961.13	-701164683.1678	693492521.1923
1	MText	-	-701144959.7693	693493298.4063
1	MText	-	-701147125.7756	693493298.4063
1	MText	-	-701150693.3154	693493298.4063
1	MText	-	-701153241.5581	693493298.4063
1	MText	-	-701157700.9828	693493298.4063
1	MText	-	-701159484.7527	693493298.4063
1	MText	-	-701163689.3532	693493298.4063
1	MText	0.95	-701164683.1678	693493298.4063
1	MText	ŠACHTA ZTI	-701170254.2634	693493298.4063
1	MText	4-T-09	-701172356.5637	693493298.4063
1	MText	-	-701144959.7693	693494075.6203
1	MText	S71	-701147125.7756	693494075.6203
1	MText	AKUSTICKÝ OBKLAD	-701150693.3154	693494075.6203
1	MText	W11,W92,W35	-701153241.5581	693494075.6203
1	MText	MAĽBA/AKUST.OBKLAD	-701157700.9828	693494075.6203
1	MText	P5.10	-701159484.7527	693494075.6203
1	MText	EPOXID.STIERKA	-701163689.3532	693494075.6203
1	MText	20.30	-701164683.1678	693494075.6203
1	MText	TECHNOLÓGIA ZTI	-701170254.2634	693494075.6203
1	MText	4-T-08	-701172356.5637	693494075.6203
1	MText	-	-701144959.7693	693494852.8343
1	MText	S71	-701147125.7756	693494852.8343
1	MText	AKUSTICKÝ OBKLAD	-701150693.3154	693494852.8343
1	MText	W11,W92,W35	-701153241.5581	693494852.8343
1	MText	MAĽBA/AKUST.OBKLAD	-701157700.9828	693494852.8343
1	MText	P5.10	-701159484.7527	693494852.8343
1	MText	EPOXID.STIERKA	-701163689.3532	693494852.8343
1	MText	47.65	-701164683.1678	693494852.8343
1	MText	TECHNOLÓGIA ZTI 	-701170254.2634	693494852.8343
1	MText	4-T-07	-701172356.5637	693494852.8343
1	MText	-	-701144959.7693	693495630.0483
1	MText	S71	-701147125.7756	693495630.0483
1	MText	AKUSTICKÝ OBKLAD	-701150693.3154	693495630.0483
1	MText	W11,W92,W35	-701153241.5581	693495630.0483
1	MText	MAĽBA/AKUST.OBKLAD	-701157700.9828	693495630.0484
1	MText	P5.10	-701159484.7527	693495630.0484
1	MText	EPOXID.STIERKA	-701163689.3532	693495630.0484
1	MText	11.45	-701164683.1678	693495630.0484
1	MText	TECHNOLÓGIA UK+CHL	-701170254.2634	693495630.0484
1	MText	4-T-06	-701172356.5637	693495630.0484
1	MText	-	-701144959.7693	693496407.2624
1	MText	-	-701147125.7756	693496407.2624
1	MText	-	-701150693.3154	693496407.2624
1	MText	-	-701153241.5581	693496407.2624
1	MText	-	-701157700.9828	693496407.2624
1	MText	-	-701159484.7527	693496407.2624
1	MText	-	-701163689.3532	693496407.2624
1	MText	1.20	-701164683.1678	693496407.2624
1	MText	ŠACHTA CHL, ZTI	-701170254.2634	693496407.2624
1	MText	4-T-05	-701172356.5637	693496407.2624
1	MText	-	-701144959.7693	693497184.4764
1	MText	-	-701147125.7756	693497184.4764
1	MText	-	-701150693.3154	693497184.4764
1	MText	-	-701153241.5581	693497184.4764
1	MText	-	-701157700.9828	693497184.4764
1	MText	-	-701159484.7527	693497184.4764
1	MText	-	-701163689.3532	693497184.4764
1	MText	1.11	-701164683.1678	693497184.4764
1	MText	ŠACHTA CHL, ZTI	-701170254.2634	693497184.4764
1	MText	4-T-04	-701172356.5637	693497184.4764
1	MText	-	-701144959.7693	693497961.6904
1	MText	S11	-701147125.7756	693497961.6904
1	MText	MAĽBA	-701150693.3154	693497961.6904
1	MText	W35,W37	-701153241.5581	693497961.6904
1	MText	MAĽBA	-701157700.9828	693497961.6904
1	MText	P7.10	-701159484.7527	693497961.6904
1	MText	EPOXID.NÁTER	-701163689.3532	693497961.6904
1	MText	8.24	-701164683.1678	693497961.6904
1	MText	NN+SLP	-701170254.2634	693497961.6904
1	MText	4-T-03	-701172356.5637	693497961.6904
1	MText	-	-701144959.7693	693498738.9044
1	MText	-	-701147125.7756	693498738.9044
1	MText	-	-701150693.3154	693498738.9044
1	MText	W91	-701153241.5581	693498738.9044
1	MText	LEPIDLO	-701157700.9828	693498738.9044
1	MText	-	-701159484.7527	693498738.9044
1	MText	-	-701163689.3532	693498738.9044
1	MText	10.55	-701164683.1678	693498738.9044
1	MText	ŠACHTA ODT	-701170254.2634	693498738.9044
1	MText	4-T-02	-701172356.5637	693498738.9044
1	MText	-	-701144959.7693	693499516.1185
1	MText	-	-701147125.7756	693499516.1185
1	MText	-	-701150693.3154	693499516.1185
1	MText	-	-701153241.5581	693499516.1185
1	MText	-	-701157700.9828	693499516.1185
1	MText	-	-701159484.7527	693499516.1185
1	MText	-	-701163689.3532	693499516.1185
1	MText	6.30	-701164683.1678	693499516.1185
1	MText	ŠACHTA VZT, SHZ	-701170254.2634	693499516.1185
1	MText	4-T-01	-701172356.5637	693499516.1185
1	MText	S.H.PODHL.=2700	-701144959.7693	693500293.3325
1	MText	S34	-701147125.7756	693500293.3325
1	MText	KAZET. PODHĽAD	-701150693.3154	693500293.3325
1	MText	W21,W52	-701153241.5581	693500293.3325
1	MText	STIERKA/SKLENENÝ OBKL.	-701157700.9828	693500293.3325
1	MText	P1.9	-701159484.7527	693500293.3325
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693500293.3325
1	MText	11.15	-701164683.1678	693500293.3325
1	MText	WC-PREDSIEN	-701170254.2634	693500293.3325
1	MText	4-O-17	-701172356.5637	693500293.3325
1	MText	S.H.PODHL.=2700	-701144959.7693	693501070.5465
1	MText	S34	-701147125.7756	693501070.5465
1	MText	KAZET. PODHĽAD	-701150693.3154	693501070.5465
1	MText	W52	-701153241.5581	693501070.5465
1	MText	SKLENENÝ OBKLAD	-701157700.9828	693501070.5465
1	MText	P1.9	-701159484.7527	693501070.5465
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693501070.5465
1	MText	1.03	-701164683.1678	693501070.5465
1	MText	WC	-701170254.2634	693501070.5465
1	MText	4-O-16	-701172356.5637	693501070.5465
1	MText	S.H.PODHL.=2700	-701144959.7693	693501847.7605
1	MText	S34	-701147125.7756	693501847.7605
1	MText	KAZET. PODHĽAD	-701150693.3154	693501847.7605
1	MText	W52	-701153241.5581	693501847.7605
1	MText	SKLENENÝ OBKLAD	-701157700.9828	693501847.7605
1	MText	P1.9	-701159484.7527	693501847.7605
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693501847.7605
1	MText	1.03	-701164683.1678	693501847.7605
1	MText	WC	-701170254.2634	693501847.7605
1	MText	4-O-15	-701172356.5637	693501847.7605
1	MText	S.H.PODHL.=2700	-701144959.7693	693502624.9746
1	MText	S34	-701147125.7756	693502624.9746
1	MText	KAZET. PODHĽAD	-701150693.3154	693502624.9746
1	MText	W52	-701153241.5581	693502624.9746
1	MText	SKLENENÝ OBKLAD	-701157700.9828	693502624.9746
1	MText	P1.9	-701159484.7527	693502624.9746
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693502624.9746
1	MText	1.03	-701164683.1678	693502624.9746
1	MText	WC	-701170254.2634	693502624.9746
1	MText	4-O-14	-701172356.5637	693502624.9746
1	MText	S.H.PODHL.=2700	-701144959.7693	693503402.1886
1	MText	S34	-701147125.7756	693503402.1886
1	MText	KAZET. PODHĽAD	-701150693.3154	693503402.1886
1	MText	W52	-701153241.5581	693503402.1886
1	MText	SKLENENÝ OBKLAD	-701157700.9828	693503402.1886
1	MText	P1.9	-701159484.7527	693503402.1886
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693503402.1886
1	MText	1.03	-701164683.1678	693503402.1886
1	MText	WC	-701170254.2634	693503402.1886
1	MText	4-O-13	-701172356.5637	693503402.1886
1	MText	S.H.PODHL.=2700	-701144959.7693	693504179.4026
1	MText	S34	-701147125.7756	693504179.4026
1	MText	KAZET. PODHĽAD	-701150693.3154	693504179.4026
1	MText	W52	-701153241.5581	693504179.4026
1	MText	SKLENENÝ OBKLAD	-701157700.9828	693504179.4026
1	MText	P1.9	-701159484.7527	693504179.4026
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693504179.4026
1	MText	1.03	-701164683.1678	693504179.4026
1	MText	WC	-701170254.2634	693504179.4026
1	MText	4-O-12	-701172356.5637	693504179.4026
1	MText	S.H.PODHL.=2700	-701144959.7693	693504956.6166
1	MText	S34	-701147125.7756	693504956.6166
1	MText	KAZET. PODHĽAD	-701150693.3154	693504956.6166
1	MText	W21,W52	-701153241.5581	693504956.6166
1	MText	STIERKA/SKLENENÝ OBKL.	-701157700.9828	693504956.6166
1	MText	P1.9	-701159484.7527	693504956.6166
1	MText	KAMENNÁ DLAŽBA	-701163689.3532	693504956.6166
1	MText	7.93	-701164683.1678	693504956.6166
