Count	Name	Contents	Position X	Position Y
1	MText	965.03	-957885603.45	-440854559.04
1	MText	-	-957872393.01	-440853974.25
1	MText	-	-957870763.27	-440853974.25
1	MText	-	-957875077.28	-440853974.25
1	MText	-	-957876994.61	-440853974.25
1	MText	-	-957880349.95	-440853974.25
1	MText	-	-957881692.08	-440853974.25
1	MText	-	-957884855.69	-440853974.25
1	MText	0.95	-957885603.45	-440853974.25
1	MText	ŠACHTA ZTI	-957889795.22	-440853974.25
1	MText	5-T-06	-957891377.03	-440853974.25
1	MText	-	-957870763.27	-440853389.46
1	MText	-	-957872393.01	-440853389.46
1	MText	-	-957875077.28	-440853389.46
1	MText	-	-957876994.61	-440853389.46
1	MText	-	-957880349.95	-440853389.46
1	MText	-	-957881692.08	-440853389.46
1	MText	-	-957884855.69	-440853389.46
1	MText	1.11	-957885603.45	-440853389.46
1	MText	ŠACHTA CHL. ZTI	-957889795.22	-440853389.46
1	MText	5-T-05	-957891377.03	-440853389.46
1	MText	-	-957870763.27	-440852804.67
1	MText	-	-957872393.01	-440852804.67
1	MText	-	-957875077.28	-440852804.67
1	MText	-	-957876994.61	-440852804.67
1	MText	-	-957880349.95	-440852804.67
1	MText	-	-957881692.08	-440852804.67
1	MText	-	-957884855.69	-440852804.67
1	MText	1.11	-957885603.45	-440852804.67
1	MText	ŠACHTA CHL. ZTI	-957889795.22	-440852804.67
1	MText	5-T-04	-957891377.03	-440852804.67
1	MText	-	-957870763.27	-440852219.89
1	MText	S11	-957872393.01	-440852219.89
1	MText	MAĽBA	-957875077.28	-440852219.89
1	MText	W35,W37	-957876994.61	-440852219.89
1	MText	MAĽBA	-957880349.95	-440852219.89
1	MText	P7.10	-957881692.08	-440852219.89
1	MText	EPOXID.NÁTER	-957884855.69	-440852219.89
1	MText	8.24	-957885603.45	-440852219.89
1	MText	NN+SLP	-957889795.22	-440852219.89
1	MText	5-T-03	-957891377.03	-440852219.89
1	MText	-	-957870763.27	-440851635.10
1	MText	-	-957872393.01	-440851635.10
1	MText	-	-957875077.28	-440851635.10
1	MText	W91	-957876994.61	-440851635.10
1	MText	LEPIDLO	-957880349.95	-440851635.10
1	MText	-	-957881692.08	-440851635.10
1	MText	9.99	-957885603.45	-440851635.10
1	MText	-	-957884855.69	-440851635.10
1	MText	ŠACHTA ODT	-957889795.22	-440851635.10
1	MText	5-T-02	-957891377.03	-440851635.10
1	MText	-	-957870763.27	-440851050.31
