Count	Name	Contents	Position X	Position Y
1	MText	W52	-957878603.15	-440759857.41
1	MText	W21,W52	-957878603.15	-440759272.63
1	MText	-	-957878603.15	-440758687.84
1	MText	W52	-957878603.15	-440760442.20
1	MText	W52	-957878603.15	-440762196.56
1	MText	W52	-957878603.15	-440761611.78
1	MText	W52	-957878603.15	-440761026.99
1	MText	-	-957878603.15	-440758103.05
1	MText	W35,W36	-957878603.15	-440755179.12
1	MText	W35,W36	-957878603.15	-440754594.33
1	MText	W12	-957878603.15	-440754009.54
1	MText	W35,W44	-957878603.15	-440755763.90
1	MText	-	-957878603.15	-440757518.27
1	MText	-	-957878603.15	-440756933.48
1	MText	W43	-957878603.15	-440756348.69
1	MText	W21,W52	-957878603.15	-440762781.35
1	MText	KAZET. PODHĽAD	-957876685.81	-440755179.12
1	MText	KAZET. PODHĽAD	-957876685.81	-440754594.33
1	MText	NÁTER	-957876685.81	-440754009.54
1	MText	KAZET.PODHĽAD	-957876685.81	-440755763.90
1	MText	-	-957876685.81	-440757518.27
1	MText	-	-957876685.81	-440756933.48
1	MText	KAZET.PODHĽAD	-957876685.81	-440756348.69
1	MText	NÁTER	-957876685.81	-440753424.75
1	MText	W35,W37	-957878603.15	-440764535.71
1	MText	W91	-957878603.15	-440763950.93
1	MText	-	-957878603.15	-440763366.14
1	MText	-	-957878603.15	-440765120.50
1	MText	KAZ./SDK PODHĽAD	-957876685.81	-440752839.97
1	MText	-	-957878603.15	-440766290.08
1	MText	-	-957878603.15	-440765705.29
1	MText	W12	-957878603.15	-440753424.75
1	MText	MAĽBA	-957881958.48	-440755179.12
1	MText	MAĽBA	-957881958.48	-440754594.33
1	MText	TENKOVRSTV. OM/MAĽBA	-957881958.48	-440754009.54
1	MText	MAĽBA/KERAM.OBKLAD	-957881958.48	-440755763.90
1	MText	MAĽBA	-957881958.48	-440757518.27
1	MText	MAĽBA	-957881958.48	-440756933.48
1	MText	KERAMICKÝ OBKLAD	-957881958.48	-440756348.69
1	MText	TENKOVRSTV. OM/MAĽBA	-957881958.48	-440753424.75
1	MText	P7.10	-957883300.62	-440764535.71
1	MText	-	-957883300.62	-440763950.93
1	MText	-	-957883300.62	-440763366.14
1	MText	-	-957883300.62	-440765120.50
1	MText	MAĽBA/SKLENENÝ OBKL.	-957881958.48	-440752839.97
1	MText	-	-957883300.62	-440766290.08
1	MText	-	-957883300.62	-440765705.29
1	MText	MAĽBA	-957881958.48	-440758103.05
1	MText	MAĽBA	-957881958.48	-440764535.71
1	MText	MAĽBA	-957881958.48	-440763950.93
1	MText	-	-957881958.48	-440763366.14
1	MText	-	-957881958.48	-440765120.50
1	MText	W21,W35,W36	-957878603.15	-440752839.97
1	MText	-	-957881958.48	-440766290.08
1	MText	-	-957881958.48	-440765705.29
1	MText	STIERKA/SKLENENÝ OBKL.	-957881958.48	-440762781.35
1	MText	SKLENENÝ OBKLAD	-957881958.48	-440759857.41
1	MText	STIERKA/SKLENENÝ OBKL.	-957881958.48	-440759272.63
1	MText	MAĽBA	-957881958.48	-440758687.84
1	MText	SKLENENÝ OBKLAD	-957881958.48	-440760442.20
1	MText	SKLENENÝ OBKLAD	-957881958.48	-440762196.56
1	MText	SKLENENÝ OBKLAD	-957881958.48	-440761611.78
1	MText	SKLENENÝ OBKLAD	-957881958.48	-440761026.99
