CombPer	Cap	IWB	ODB	TotCap	Power	CapRatio	CoolCapRatio
100	49	19	39	47.4	17.3	0.96734693877551	High
100	49	20	29	52	14.6	1.06122448979592	High
100	49	20	31	51.2	15.1	1.04489795918367	High
100	49	20	33	50.4	15.7	1.02857142857143	High
100	49	20	35	49.6	16.3	1.01224489795918	High
100	49	20	37	48.8	16.8	0.995918367346939	High
100	49	20	39	48	17.4	0.979591836734694	High
100	49	22	16	58.4	11.2	1.19183673469388	High
100	49	22	18	57.6	11.6	1.17551020408163	High
100	49	22	20	56.8	12.1	1.15918367346939	High
100	49	22	21	56.4	12.4	1.15102040816327	High
100	49	22	23	55.6	13	1.13469387755102	High
100	49	22	25	54.8	13.5	1.11836734693878	High
100	49	22	27	54	14.1	1.10204081632653	High
100	49	22	29	53.2	14.7	1.08571428571429	High
100	49	22	31	52.4	15.3	1.06938775510204	High
100	49	22	33	51.6	15.8	1.0530612244898	High
100	49	22	35	50.8	16.4	1.03673469387755	High
100	49	22	37	50	17	1.02040816326531	High
100	49	22	39	49.2	17.6	1.00408163265306	High
100	49	24	10	61.9	11	1.26326530612245	High
100	49	24	12	61.1	11	1.2469387755102	High
100	49	24	14	60.4	10.9	1.23265306122449	High
100	49	24	16	59.6	11.1	1.21632653061224	High
100	49	24	18	58.8	11.7	1.2	High
100	49	24	20	58	12.2	1.18367346938776	High
100	49	24	21	57.6	12.5	1.17551020408163	High
100	49	24	23	56.8	13.1	1.15918367346939	High
100	49	24	25	56	13.7	1.14285714285714	High
100	49	24	27	55.2	14.2	1.1265306122449	High
100	49	24	29	54.4	14.8	1.11020408163265	High
100	49	24	31	53.6	15.4	1.09387755102041	High
100	49	24	33	52.8	16	1.07755102040816	High
100	49	24	35	52	16.6	1.06122448979592	High
100	49	24	37	51.2	17.1	1.04489795918367	High
100	49	24	39	50.4	17.7	1.02857142857143	High
