"CombPer","Cap","IWB","ODB","TotCap","Power"
130.0,63.7,16.0,-15.0,34.6,7.93
130.0,63.7,16.0,-13.0,36.1,8.48
130.0,63.7,16.0,-11.0,37.7,9.0
130.0,63.7,16.0,-10.0,38.6,9.3
130.0,63.7,16.0,-9.1,39.4,9.5
130.0,63.7,16.0,-7.6,40.8,9.9
130.0,63.7,16.0,-5.6,42.8,10.4
130.0,63.7,16.0,-3.7,44.9,10.9
130.0,63.7,16.0,-0.7,48.4,11.6
130.0,63.7,16.0,2.2,52.0,12.2
130.0,63.7,16.0,4.1,54.5,12.6
130.0,63.7,16.0,6.0,57.2,13.0
130.0,63.7,16.0,7.9,60.0,13.4
130.0,63.7,16.0,9.8,62.9,13.7
130.0,63.7,16.0,11.8,66.2,14.1
130.0,63.7,16.0,13.7,69.3,14.4
130.0,63.7,18.0,-15.0,34.5,8.62
130.0,63.7,18.0,-13.0,36.0,9.1
130.0,63.7,18.0,-11.0,37.6,9.6
130.0,63.7,18.0,-10.0,38.5,9.9
130.0,63.7,18.0,-9.1,39.3,10.1
130.0,63.7,18.0,-7.6,40.7,10.5
130.0,63.7,18.0,-5.6,42.7,11.0
130.0,63.7,18.0,-3.7,44.8,11.4
130.0,63.7,18.0,-0.7,48.2,12.1
130.0,63.7,18.0,2.2,51.9,12.7
130.0,63.7,18.0,4.1,54.4,13.1
130.0,63.7,18.0,6.0,57.1,13.4
130.0,63.7,18.0,7.9,59.9,13.8
130.0,63.7,18.0,9.8,62.8,14.1
130.0,63.7,18.0,11.8,66.0,14.4
130.0,63.7,18.0,13.7,69.2,14.7
130.0,63.7,20.0,-15.0,34.3,9.3
130.0,63.7,20.0,-13.0,35.8,9.8
130.0,63.7,20.0,-11.0,37.5,10.3
130.0,63.7,20.0,-10.0,38.3,10.5
130.0,63.7,20.0,-9.1,39.2,10.7
130.0,63.7,20.0,-7.6,40.6,11.1
130.0,63.7,20.0,-5.6,42.6,11.5
130.0,63.7,20.0,-3.7,44.6,11.9
130.0,63.7,20.0,-0.7,48.1,12.6
130.0,63.7,20.0,2.2,51.7,13.1
130.0,63.7,20.0,4.1,54.3,13.5
130.0,63.7,20.0,6.0,57.0,13.8
130.0,63.7,20.0,7.9,59.8,14.2
130.0,63.7,20.0,9.8,62.7,14.5
130.0,63.7,20.0,11.8,65.9,14.8
130.0,63.7,20.0,13.7,69.1,15.0
130.0,63.7,21.0,-15.0,34.3,9.7
130.0,63.7,21.0,-13.0,35.8,10.1
130.0,63.7,21.0,-11.0,37.4,10.6
130.0,63.7,21.0,-10.0,38.3,10.8
130.0,63.7,21.0,-9.1,39.1,11.0
130.0,63.7,21.0,-7.6,40.5,11.4
130.0,63.7,21.0,-5.6,42.5,11.8
130.0,63.7,21.0,-3.7,44.6,12.2
130.0,63.7,21.0,-0.7,48.0,12.8
130.0,63.7,21.0,2.2,51.7,13.4
130.0,63.7,21.0,4.1,54.2,13.7
130.0,63.7,21.0,6.0,56.9,14.0
130.0,63.7,21.0,7.9,59.7,14.3
130.0,63.7,21.0,9.8,62.6,14.6
130.0,63.7,21.0,11.8,65.8,14.9
130.0,63.7,21.0,13.7,69.0,15.2
130.0,63.7,22.0,-15.0,34.2,10.0
130.0,63.7,22.0,-13.0,35.7,10.5
130.0,63.7,22.0,-11.0,37.3,10.9
130.0,63.7,22.0,-10.0,38.2,11.1
130.0,63.7,22.0,-9.1,39.0,11.3
130.0,63.7,22.0,-7.6,40.4,11.7
130.0,63.7,22.0,-5.6,42.5,12.1
130.0,63.7,22.0,-3.7,44.5,12.5
130.0,63.7,22.0,-0.7,48.0,13.1
130.0,63.7,22.0,2.2,51.6,13.6
130.0,63.7,22.0,4.1,54.2,13.9
130.0,63.7,22.0,6.0,56.8,14.2
130.0,63.7,22.0,7.9,59.6,14.5
